2019-06-24 15:37:57 status half-installed libc6-dev:amd64 2.23-0ubuntu10
2019-06-24 15:37:57 status unpacked libc6-dev:amd64 2.23-0ubuntu11
2019-06-24 15:37:57 status unpacked libc6-dev:amd64 2.23-0ubuntu11
2019-06-24 15:37:57 upgrade libc-dev-bin:amd64 2.23-0ubuntu10 2.23-0ubuntu11
2019-06-24 15:37:57 status half-configured libc-dev-bin:amd64 2.23-0ubuntu10
2019-06-24 15:37:57 status unpacked libc-dev-bin:amd64 2.23-0ubuntu10
2019-06-24 15:37:57 status half-installed libc-dev-bin:amd64 2.23-0ubuntu10
2019-06-24 15:37:57 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:37:57 status half-installed libc-dev-bin:amd64 2.23-0ubuntu10
2019-06-24 15:37:57 status unpacked libc-dev-bin:amd64 2.23-0ubuntu11
2019-06-24 15:37:57 status unpacked libc-dev-bin:amd64 2.23-0ubuntu11
2019-06-24 15:37:57 upgrade linux-libc-dev:amd64 4.4.0-141.167 4.4.0-151.178
2019-06-24 15:37:57 status half-configured linux-libc-dev:amd64 4.4.0-141.167
2019-06-24 15:37:57 status unpacked linux-libc-dev:amd64 4.4.0-141.167
2019-06-24 15:37:57 status half-installed linux-libc-dev:amd64 4.4.0-141.167
2019-06-24 15:38:00 status half-installed linux-libc-dev:amd64 4.4.0-141.167
2019-06-24 15:38:00 status unpacked linux-libc-dev:amd64 4.4.0-151.178
2019-06-24 15:38:00 status unpacked linux-libc-dev:amd64 4.4.0-151.178
2019-06-24 15:38:01 upgrade libc6:amd64 2.23-0ubuntu10 2.23-0ubuntu11
2019-06-24 15:38:01 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-06-24 15:38:01 status half-configured libc6:amd64 2.23-0ubuntu10
2019-06-24 15:38:01 status unpacked libc6:amd64 2.23-0ubuntu10
2019-06-24 15:38:01 status half-installed libc6:amd64 2.23-0ubuntu10
2019-06-24 15:38:04 status half-installed libc6:amd64 2.23-0ubuntu10
2019-06-24 15:38:04 status unpacked libc6:amd64 2.23-0ubuntu11
2019-06-24 15:38:04 status unpacked libc6:amd64 2.23-0ubuntu11
2019-06-24 15:38:04 startup packages configure
2019-06-24 15:38:04 configure libc6:amd64 2.23-0ubuntu11 <none>
2019-06-24 15:38:04 status unpacked libc6:amd64 2.23-0ubuntu11
2019-06-24 15:38:05 status unpacked libc6:amd64 2.23-0ubuntu11
2019-06-24 15:38:05 status half-configured libc6:amd64 2.23-0ubuntu11
2019-06-24 15:38:05 status installed libc6:amd64 2.23-0ubuntu11
2019-06-24 15:38:06 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-06-24 15:38:06 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-06-24 15:38:06 status installed libc-bin:amd64 2.23-0ubuntu10
2019-06-24 15:38:06 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:38:06 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:38:06 status installed man-db:amd64 2.7.5-1
2019-06-24 15:38:06 startup archives unpack
2019-06-24 15:38:06 upgrade debconf-i18n:all 1.5.58ubuntu1 1.5.58ubuntu2
2019-06-24 15:38:06 status half-configured debconf-i18n:all 1.5.58ubuntu1
2019-06-24 15:38:06 status unpacked debconf-i18n:all 1.5.58ubuntu1
2019-06-24 15:38:06 status half-installed debconf-i18n:all 1.5.58ubuntu1
2019-06-24 15:38:07 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:38:07 status half-installed debconf-i18n:all 1.5.58ubuntu1
2019-06-24 15:38:07 status unpacked debconf-i18n:all 1.5.58ubuntu2
2019-06-24 15:38:07 status unpacked debconf-i18n:all 1.5.58ubuntu2
2019-06-24 15:38:07 upgrade debconf:all 1.5.58ubuntu1 1.5.58ubuntu2
2019-06-24 15:38:07 status half-configured debconf:all 1.5.58ubuntu1
2019-06-24 15:38:08 status unpacked debconf:all 1.5.58ubuntu1
